solo,duo,seed,dt,score_for_solo,final_tick
v1_knapsack,v1_knapsack_hybrid,1050,16,1.0,4000
v1_knapsack_hybrid,v1_knapsack,1051,16,0.0,4000
v1_knapsack,v4,1052,16,0.0,4000
v4,v1_knapsack,1053,16,1.0,4000
v1_knapsack,v4,1054,16,0.0,4000
v4,v1_knapsack,1055,16,1.0,4000
v1_knapsack,v5_qubo,1056,16,0.0,4000
v5_qubo,v1_knapsack,1057,16,1.0,4000
v1_knapsack,v5_qubo,1058,16,0.0,4000
v5_qubo,v1_knapsack,1059,16,1.0,4000
